data,hora,lado,dist_nivel,contratos,trail_mult,be_lock_frac,confianca,motivo
2025-06-13,11:48,LONG,7.25,5,1.0,0.75,0.75,"Sexta-feira, horário RTH normal (11:48 ET), sinal LONG em máx/mín do dia anterior. Distância de 7.25pt é moderada — não é um toque perfeito, mas também não é especulativo. Nível é RTH puro (não Globex), qualidade média-boa. Configuração padrão com confiança 0.75 reflete a distância ligeiramente maior que o ideal, mas sem penalizar muito por estar numa sessão e dia sólidos."
2025-06-13,11:56,LONG,0.50,5,1.0,0.75,0.75,"Sinal de boa qualidade: sexta-feira em horário RTH normal (11:56 ET), nível originário de máx/mín do dia anterior (robusto), toque muito próximo da linha (dist_nivel 0.50pt = excelente precisão). Sem razão para desviar dos parâmetros padrão — confiança elevada justifica mantê-los."
2025-06-13,11:59,LONG,7.00,5,1.0,0.75,0.65,"Sexta-feira próxima ao encerramento (11:59 ET), nível de max/min do dia anterior (RTH, boa qualidade). Distância de 7pt é moderada — não é toque perfeito, mas não é ruim. Mantém defaults para evitar excesso de confiança perto do vencimento semanal."
2025-06-13,12:01,LONG,3.75,5,1.0,0.75,0.7,"Sexta-feira, 12:01 ET (meio do RTH normal). Nível de máx/mín do dia anterior = RTH sólido, bom. Distância 3.75pt é moderada — não é um toque perfeito, mas também não está muito longe. Qualidade acima da média, mas sem excesso de confiança. Padrão (5/1.0/0.75) mantém equilíbrio apropriado entre captura de lucro e proteção."
2025-06-13,12:04,LONG,5.25,5,1.0,0.75,0.72,"Sexta-feira, sinal LONG no fundo com dist_nivel = 5.25pt (toque razoável, não perfeito). Nível de max/mín RTH do dia anterior = origem sólida e confiável. Horário 12:04 ET é meio do pregão RTH normal, liquidez boa. Sem razão forte pra desviar dos padrões — mantém perfil equilibrado (5 contratos / 1.0x trail / 0,75 lock). Confiança moderada por conta da distância um pouco maior que o ideal (&lt;3pt seria excelente)."
2025-06-13,12:28,LONG,8.00,5,1.0,0.75,0.7,"Sexta-feira à tarde (12:28 ET), sinal LONG em nível RTH legítimo (máx/mín do dia anterior). Distância de 8pt é moderada — não é um toque limpo (idealmente <5pt) mas também não é ruído. Qualidade média: mantém posição padrão (5 contratos, trail 1,0x, be_lock 0,75). Sexta à tarde tem menos momentum que semana cheia, então não justifica agressividade extra."
2025-06-13,12:31,LONG,1.25,5,1.0,0.75,0.75,"Sexta-feira, RTH, máx/mín do dia anterior (nível robusto). Toque muito próximo (1.25pt = ótima precisão). Horário 12:31 ET é ainda período de atividade normal. Qualidade de sinal BOA — mantém padrão, sem motivo pra aumentar risco além do necessário."
2025-06-13,12:33,LONG,6.75,5,1.0,0.75,0.72,"Sexta-feira 12:33 ET, sinal LONG em máximo/mínimo do dia anterior (RTH). Distância de 6.75pt é moderada—não é toque perfeito, mas ainda razoável. Horário ainda está dentro do RTH normal (não é final de sessão). Nível é de origem clara (RTH), não Globex. Qualidade média-boa justifica manter padrão (5 contratos, trailing 1,75pt, lock 75%). Confiança 0.72 pela distância um pouco maior e por ser sexta (volumes podem cair no final)."
2025-06-13,12:53,LONG,0.25,6,1.2,0.75,0.82,"Sexta-feira 12:53 ET, toque muito próximo (0.25pt) em nível RTH legítimo (máx/mín dia anterior). Horário ainda tem liquidez boa. Qualidade do sinal é alta — aumentar para 6 contratos. Trail_mult ligeiramente acima do padrão (1.2) para dar um pouco mais de espaço ao trade respirar em sexta, evitando stop precoce em volatilidade normal. be_lock_frac padrão mantido (0.75) pois o nível é sólido e RTH."
2025-06-13,12:55,LONG,4.25,5,1.0,0.75,0.7,"Sinal LONG em sexta-feira (dia tenso, final de semana próxima). Hora 12:55 ET está próxima do horário volátil de fechamento (2-4pm). Nível de origem legítima (máx/mín RTH do dia anterior, não domingo/Globex). Distância de 4.25pt é moderada — não está perto da linha, reduz qualidade do toque. Sem motivos para desviar dos padrões: contratos, trailing e be_lock padrão. Confiança ligeiramente abaixo de 0.75 por causa da distância e horário sensível."
