data,hora,lado,nivel,dist_nivel,usou_domingo,decisao_ia,confianca,motivo
2025-06-13,11:48,LONG,22043.75,7.25,False,RECUSA,0.65,"Distância de 7,25pt do nível é grande para uma rejeição limpa, sugerindo toque impreciso; além disso, horário próximo ao meio-dia (11:48 ET) tem historicamente menor qualidade de reversão por baixa liquidez pré-almoço."
2025-06-13,11:56,LONG,22043.75,0.50,False,ACEITA,0.72,"Nível de dia anterior (RTH, mais confiável que Globex), toque bem próximo da linha (0.5pt) com fechamento acima dela indicando rejeição clara, e horário dentro da sessão regular com liquidez razoável."
2025-06-13,11:59,LONG,22043.75,7.00,False,RECUSA,0.65,"Distância de 7pt do nível é muito grande, indicando rejeição pouco precisa e sinal fraco, além de horário próximo ao meio-dia com liquidez reduzida."
2025-06-13,12:01,LONG,22043.75,3.75,False,ACEITA,0.62,"Nível de RTH do dia anterior (mais confiável que Globex), distância pequena (3.75pt) e vela fechou 3.75pt acima da linha, mostrando rejeição clara; horário ainda dentro da sessão regular de liquidez."
2025-06-13,12:04,LONG,22043.75,5.25,False,RECUSA,0.65,"Distância de 5.25pt até a linha é excessiva, indicando rejeição pouco precisa e maior risco de sinal espúrio em horário de meio de sessão."
2025-06-13,12:28,LONG,22043.75,8.00,False,RECUSA,0.65,"Distância de 8pt do nível é grande, indicando rejeição pouco precisa, além de ser sexta à tarde com liquidez e convicção reduzidas."
2025-06-13,12:31,LONG,22043.75,1.25,False,ACEITA,0.68,"Toque próximo à mínima do dia anterior (1.25pt), vela fecha acima da linha confirmando rejeição, horário líquido de RTH e nível não é Globex espúrio."
2025-06-13,12:33,LONG,22043.75,6.75,False,RECUSA,0.68,"Toque com distância excessiva (6.75pt) da linha, indicando rejeição pouco precisa, além de horário pós-almoço (12:33 ET) com liquidez tipicamente mais fraca, reduzindo a qualidade do sinal."
2025-06-13,12:53,LONG,22043.75,0.25,False,ACEITA,0.68,"Nível é mínima do dia anterior RTH (mais confiável que Globex), toque muito preciso (0,25pt) com fechamento claramente acima da linha, horário de sessão regular e sexta-feira não costuma ter liquidez tão degradada quanto domingo à noite."
2025-06-13,12:55,LONG,22043.75,4.25,False,ACEITA,0.62,"Nível é o dia anterior RTH (mais confiável que Globex), horário ainda dentro da sessão regular ativa, distância de 4.25pt é razoável e o fechamento confirma rejeição clara acima da linha."
2025-06-13,13:00,LONG,22043.75,4.25,False,RECUSA,0.65,"Sinal tardio (13:00 ET, fora da janela de abertura/maior liquidez) e distância de 4.25pt da linha é relativamente grande, indicando rejeição menos precisa e maior risco de falso sinal numa sexta-feira com potencial baixa liquidez."
2025-06-17,13:02,LONG,22012.00,10.00,False,RECUSA,0.68,"Distância de 10pt até a linha é excessiva, indicando toque impreciso e menor probabilidade de rejeição limpa no nível."
2025-06-17,13:07,LONG,22012.00,13.75,False,RECUSA,0.7,"Distância de 13.75pt até o nível é grande (maior que o próprio stop de 12.5pt), indicando que o toque não foi uma rejeição precisa da linha, mas sim uma ultrapassagem/wick distante, reduzindo a qualidade do sinal."
2025-06-17,13:30,LONG,22012.00,2.50,False,ACEITA,0.68,"Nível RTH (não-Globex), toque próximo (2.5pt) com fechamento claramente acima da linha indicando rejeição válida, dentro do horário líquido da tarde."
2025-06-17,13:31,LONG,22012.00,0.25,False,ACEITA,0.75,"Toque muito próximo à linha (0.25pt) no nível RTH do dia anterior, com fechamento acima da linha indicando rejeição clara; horário de sessão regular (13:31 ET) reforça a validade do sinal."
2025-06-17,13:33,LONG,22012.00,13.25,False,RECUSA,0.72,"Distância de 13.25pt do nível é excessiva (maior que o stop de 12.5pt), indicando que o toque não foi uma rejeição precisa da linha, mas sim uma penetração profunda, o que reduz a qualidade estatística do sinal."
2025-06-17,13:41,LONG,22012.00,13.00,False,RECUSA,0.68,"Distância de 13pt até a linha é grande demais, indicando rompimento/wick distante em vez de rejeição limpa no nível."
