data,dow,usou_domingo,range_ant,estrategias_ia,confianca,motivo
2025-06-12,quinta,False,,REV,0.75,Primeiro dia sem histórico de range anterior; REV com nível claro (máx/mín do dia anterior); sem indicadores de volatilidade anormal que justifiquem misturar estratégias.
2025-06-13,sexta,False,158.25,REV,0.75,Sexta com range anterior moderado (158.25pt); REV é a mais consistente. Sem sinais de volatilidade extrema ou condições anômalas que justifiquem adicionar outras estratégias como reserva.
2025-06-15,domingo,False,257.00,REV,0.85,Domingo com range anterior normal (257pt). REV é mais confiável; misturar outras estratégias historicamente piora o resultado.
2025-06-16,segunda,True,212.00,REV,0.85,Segunda-feira com range Globex (212pt) - tamanho moderado. REV é melhor sozinha; sem motivo concreto para misturar outras estratégias.
2025-06-17,terça,False,210.00,REV,0.85,Terça típica com range anterior moderado (210pt); nível vem do RTH do dia anterior. Sem sinais anômalos. REV sozinha tem melhor taxa historicamente; manter foco.
2025-06-18,quarta,False,225.50,REV,0.85,Quarta-feira com range anterior bem-definido (225.50pt) e nível do dia anterior (RTH). REV tem melhor taxa aprovada; risco de misturar outra estratégia supera benefício.
2025-06-19,quinta,False,215.50,REV,0.85,Quinta-feira com range anterior robusto (215.50pt) garante níveis REV bem definidos. Sem fatores que justifiquem misturar outras estratégias.
2025-06-20,sexta,False,136.50,REV,0.75,Sexta-feira com range anterior saudável (136.5pt). REV já validada; nenhum catalisador específico sugere habilitar outras estratégias.
2025-06-22,domingo,False,365.50,REV,0.85,"Domingo com range anterior robusto (365.5pt); REV sozinha é a mais consistente e confiável. Sem sinais específicos para ORB/EMAV/ICT; manter foco em REV evita ""roubo"" de slots."
2025-06-23,segunda,True,220.25,REV,0.75,Segunda-feira com nível Globex e range anterior moderado (220pt). REV é mais confiável; sem contexto que justifique adicionar outras estratégias neste momento.
2025-06-24,terça,False,354.75,REV,0.85,"Terça normal com range anterior grande (354.75pt), bom para REV. Nível vem do RTH anterior — contexto estável. Sem razão para adicionar reserva."
2025-06-25,quarta,False,188.25,REV,0.85,"Quarta-feira, range anterior (188.25pt) é moderado, nível de referência do RTH anterior é padrão. REV mantém melhor taxa de aprovação; sem contexto anômalo que justifique diluir no limite de 12 trades com outra estratégia."
2025-06-26,quinta,False,159.75,REV,0.85,Quinta-feira com range anterior robusto (159.75pt). REV tem histórico melhor; sem sinais de contexto excepcional para habilitar alternativas.
